Year,Max DHW,Max.DHW.MMM.1,Max.DHW.MMM+2.5
2015,6.989838,1.422658,0
2016,6.355525,1.746182,0
2017,7.017957,2.003486,0
2018,8.618614,2.615546,0
2019,7.293214,1.895179,0
2020,8.726018,2.218422,0
2021,10.20759,3.023672,0
2022,8.225944,2.625801,0
2023,8.600574,2.518481,0
2024,9.891778,1.922057,0
2025,10.97293,3.159551,0
2026,10.00061,3.596738,0
2027,10.95519,3.501204,0
2028,13.68173,4.693651,0
2029,10.92182,3.216012,0
2030,13.74449,4.76718,0
2031,14.48392,4.777116,0
2032,12.12671,3.205987,0
2033,13.0778,4.700234,0
2034,13.72018,4.652851,0
2035,14.11092,5.1536,0
2036,16.01317,6.506782,0
2037,15.25527,5.102755,0
2038,16.01478,6.436371,0
2039,15.0669,5.187373,0
2040,17.0331,6.383817,0
2041,17.66154,7.068998,0
2042,17.90131,7.645447,0
2043,19.60865,8.754933,0
2044,20.65601,8.513042,0
2045,19.52925,7.745901,0
2046,16.90139,6.837946,0
2047,20.90301,9.927346,0
2048,22.97429,11.98822,0
2049,22.44364,10.17814,0
2050,22.34274,9.965246,0
2051,21.9951,11.19567,0
2052,22.9898,11.26854,0
2053,22.98756,12.05246,0
2054,23.89375,12.13003,0
2055,24.81238,14.02349,0
2056,26.48424,13.71122,0
2057,25.51168,12.9117,0
2058,26.92777,15.45503,0
2059,28.05392,15.26764,0
2060,28.45919,16.46487,0
2061,27.39706,15.96075,0
2062,29.05924,17.85291,0
2063,29.55324,17.25845,0
2064,28.53106,17.3202,0
2065,30.8906,18.57912,0
2066,32.25183,18.70139,0.33201
2067,31.63902,20.17062,0.58645
2068,31.45201,18.5284,0.082597
2069,32.54788,21.06665,1.1328
2070,35.34335,23.59621,3.9332
2071,35.38905,23.20795,3.4206
2072,34.0997,22.07345,2.2284
2073,35.22297,22.91823,3.3647
2074,35.35783,23.98078,4.2432
2075,37.11378,24.4354,4.7535
2076,37.83979,25.38719,5.7676
2077,37.08833,23.69523,4.1046
2078,37.7863,25.30894,5.578
2079,40.63585,27.7865,8.1076
2080,39.67556,27.39326,7.7407
2081,40.73906,27.93768,8.3585
2082,41.75806,28.83602,9.2824
2083,41.88514,28.60083,8.9987
2084,42.8953,31.31473,11.761
2085,44.05294,32.29958,12.712
2086,42.81405,29.93983,10.386
2087,45.32432,32.79602,13.142
2088,47.17454,34.25204,14.645
2089,44.73678,31.03238,11.458
2090,45.22668,33.26507,13.669
2091,48.66064,35.84069,16.287
2092,48.29729,35.46536,15.904
2093,49.33723,37.77009,18.12
2094,50.74192,38.17391,18.546
2095,49.18603,36.512,16.958
2096,48.2901,36.30622,16.753
2097,52.28958,40.22948,20.676
2098,50.93082,37.66215,18.096
2099,51.80621,37.63381,17.831
2100,52.27181,39.78373,20.188
